    tiempo       Posicion  
   0.0000000000000000        0.0000000000000000     
  0.16000000000000000       -5.4919698439834965     
  0.32000000000000001       -6.3911274079906084     
  0.47999999999999998       -5.5915445434891984     
  0.64000000000000001       -4.5987456989604372     
  0.80000000000000004       -4.0862699786533909     
  0.95999999999999996       -4.2612475157126486     
   1.1200000000000001       -5.0955722908784971     
   1.2800000000000000       -6.4647723113011093     
   1.4399999999999999       -8.2253824335288765     
   1.6000000000000001       -10.252918936607506     
   1.7600000000000000       -12.455935440674857     
   1.9199999999999999       -14.776685556181299     
   2.0800000000000001       -17.185278057133896     
   2.2400000000000002       -19.671595778658482     
   2.3999999999999999       -22.237422687411158     
   2.5600000000000001       -24.889992314383008     
   2.7200000000000002       -27.637380647007571     
   2.8799999999999999       -30.485695357216706     
   3.0400000000000000       -33.437765370833858     
   3.2000000000000002       -36.492936910259310     
   3.3599999999999999       -39.647579092660060     
   3.5200000000000000       -42.895953493232049     
   3.6800000000000002       -46.231179111265696     
   3.8399999999999999       -49.646107484636609     
   4.0000000000000000       -53.134000000000000     
   4.1600000000000001       -56.688963821880442     
   4.3200000000000003       -60.306151302984247     
   4.4800000000000004       -63.981759952858141     
   4.6399999999999997       -67.712887521601488     
   4.7999999999999998       -71.497302024787160     
   4.9600000000000000       -75.333182592104549     
   5.1200000000000001       -79.218876920363272     
   5.2800000000000002       -83.152707675355728     
   5.4400000000000004       -87.132845824491085     
   5.6000000000000005       -91.157255483056545     
   5.7599999999999998       -95.223703757860221     
   5.9199999999999999       -99.329821070323476     
   6.0800000000000001       -103.47319284652193     
   6.2400000000000002       -107.65146217217597     
   6.4000000000000004       -111.86242460289895     
   6.5600000000000005       -116.10410014638992     
   6.7199999999999998       -120.37477271721438     
   6.8799999999999999       -124.67299329038632     
   7.0400000000000000       -128.99754877015843     
   7.2000000000000002       -133.34740357181892     
   7.3600000000000003       -137.72162456572255     
   7.5200000000000005       -142.11930201723484     
   7.6799999999999997       -146.53947933577084     
   7.8399999999999999       -150.98110288042133     
   8.0000000000000000       -155.44300000000001     
   8.1600000000000001       -159.92388930531962     
   8.3200000000000003       -164.42242238737654     
   8.4800000000000004       -168.93725137853875     
   8.6400000000000006       -173.46711248983641     
   8.8000000000000007       -178.01091249110380     
   8.9600000000000009       -182.56780348569313     
   9.1200000000000010       -187.13723158366929     
   9.2799999999999994       -191.71894733693094     
   9.4399999999999995       -196.31297000391243     
   9.5999999999999996       -200.91950358156492     
   9.7599999999999998       -205.53880958533796     
   9.9199999999999999       -210.17104908641264     
   10.080000000000000       -214.81611368433630     
   10.240000000000000       -219.47347095492003     
   10.400000000000000       -224.14205348966246     
   10.560000000000000       -228.82022101278011     
   10.720000000000001       -233.50582146014656     
   10.880000000000001       -238.19636883003267     
   11.040000000000001       -242.88934294193865     
   11.200000000000001       -247.58259932118958     
   11.359999999999999       -252.27485719243512     
   11.520000000000000       -256.96621159048738     
   11.680000000000000       -261.65859414231386     
   11.840000000000000       -266.35608907503138     
   12.000000000000000       -271.06500000000000     
   12.160000000000000       -275.79356300238555     
   12.320000000000000       -280.55121671809377     
   12.480000000000000       -285.34737442179085     
   12.640000000000001       -290.18970000539639     
   12.800000000000001       -295.08197103933583     
   12.960000000000001       -300.02171755023994     
   13.120000000000001       -304.99795099477751     
   13.280000000000001       -309.98943565053685     
   13.440000000000000       -314.96408929209861     
   13.600000000000000       -319.88020806572115     
   13.760000000000000       -324.69025746603489     
   13.920000000000000       -329.34790899309229     
   14.080000000000000       -333.81876501709877     
   14.240000000000000       -338.09471615692598     
   14.400000000000000       -342.21100413382771     
   14.560000000000000       -346.26367600179037     
   14.720000000000001       -350.42303380269755     
   14.880000000000001       -354.93568485170351     
   15.040000000000001       -360.10360922043787     
   15.200000000000001       -366.22295071789978     
   15.359999999999999       -373.45760547038509     
   15.520000000000000       -381.61264877711665     
   15.680000000000000       -389.75963626233658     
   15.840000000000000       -395.64916575185470     
   16.000000000000000       -394.82499999999999     
